Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed
SHIP000000,Jaipur,Mumbai,2023-04-26,2023-05-01,2023-05-02,Trailer,1603,Rain,Light,Yes
SHIP000001,Bangalore,Delhi,2023-02-09,2023-02-13,2023-02-17,Trailer,1237,Storm,Moderate,Yes
SHIP000002,Mumbai,Chennai,2023-09-19,2023-09-25,2023-09-25,Truck,1863,Clear,Light,No
SHIP000003,Hyderabad,Ahmedabad,2023-04-01,2023-04-05,2023-04-05,Container,1374,Clear,Light,No
SHIP000004,Chennai,Kolkata,2023-11-24,2023-11-26,2023-11-28,Container,676,Clear,Heavy,Yes
SHIP000005,Chennai,Ahmedabad,2024-03-14,2024-03-16,2024-03-19,Container,746,Storm,Light,Yes
SHIP000006,Bangalore,Lucknow,2024-05-28,2024-06-03,2024-06-10,Lorry,1988,Fog,Light,Yes
SHIP000007,Kolkata,Mumbai,2023-04-01,2023-04-06,2023-04-08,Container,1521,Rain,Moderate,Yes
SHIP000008,Kolkata,Bangalore,2023-10-01,2023-10-02,2023-10-03,Truck,390,Rain,Light,Yes
SHIP000009,Lucknow,Ahmedabad,2023-03-08,2023-03-09,2023-03-09,Trailer,324,Clear,Light,No
SHIP000010,Delhi,Ahmedabad,2023-07-19,2023-07-24,2023-07-25,Trailer,1679,Rain,Light,Yes
SHIP000011,Ahmedabad,Delhi,2023-04-03,2023-04-09,2023-04-13,Trailer,1823,Rain,Moderate,Yes
SHIP000012,Mumbai,Kolkata,2023-06-12,2023-06-13,2023-06-18,Truck,520,Clear,Moderate,Yes
SHIP000013,Hyderabad,Ahmedabad,2023-11-12,2023-11-16,2023-11-18,Container,1456,Clear,Heavy,Yes
SHIP000014,Hyderabad,Mumbai,2023-09-15,2023-09-17,2023-09-17,Lorry,778,Clear,Light,No
SHIP000015,Pune,Kolkata,2024-05-16,2024-05-21,2024-05-26,Truck,1671,Clear,Moderate,Yes
